@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
103,'2023/03/30 14:05:18:292',1,0.686154,0.643077,0.643077,0.569231,0.012734,0.011704,0.006517,0.010077,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
104,'2023/03/30 14:05:18:793',1,0.723077,0.723077,0.624615,0.655385,0.010389,0.00982,0.006166,0.008703,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
105,'2023/03/30 14:05:19:294',1,0.630769,0.649231,0.612308,0.569231,0.013015,0.012254,0.006226,0.009252,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
106,'2023/03/30 14:05:19:796',1,0.667692,0.747692,0.618462,0.575385,0.015711,0.016713,0.00397,0.009423,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
107,'2023/03/30 14:05:20:296',1,0.790769,0.803077,0.606154,0.636923,0.019413,0.019617,0.006827,0.009345,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
108,'2023/03/30 14:05:20:797',1,0.901538,0.796923,0.661538,0.630769,0.019401,0.019682,0.005783,0.00872,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
109,'2023/03/30 14:05:21:301',1,0.68,0.723077,0.581538,0.630769,0.014637,0.016089,0.005352,0.010014,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
110,'2023/03/30 14:05:21:798',1,0.692308,0.766154,0.563077,0.544615,0.023579,0.020855,0.004631,0.009778,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
111,'2023/03/30 14:05:22:301',1,0.655385,0.76,0.587692,0.618462,0.014527,0.014784,0.006681,0.01171,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
112,'2023/03/30 14:05:22:800',1,0.643077,0.741538,0.569231,0.6,0.013241,0.01351,0.006882,0.015649,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
113,'2023/03/30 14:05:23:305',1,0.938462,0.975385,0.624615,0.550769,0.021286,0.02125,0.006172,0.017015,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
114,'2023/03/30 14:05:23:806',1,0.772308,0.735385,0.630769,0.526154,0.013051,0.012898,0.004639,0.012155,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
115,'2023/03/30 14:05:24:305',1,0.6,0.735385,0.612308,0.495385,0.012849,0.011886,0.005532,0.010558,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
116,'2023/03/30 14:05:24:805',1,0.716923,0.784615,0.6,0.550769,0.011815,0.011192,0.005969,0.008265,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
117,'2023/03/30 14:05:25:306',1,0.889231,0.981538,0.593846,0.593846,0.011603,0.011185,0.006312,0.00968,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
118,'2023/03/30 14:05:25:808',1,0.821538,0.889231,0.587692,0.630769,0.027124,0.025296,0.004916,0.008359,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
119,'2023/03/30 14:05:26:308',1,0.723077,0.661538,0.581538,0.575385,0.020141,0.013066,0.00571,0.01016,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
120,'2023/03/30 14:05:26:810',1,0.704615,0.673846,0.556923,0.569231,0.013591,0.01125,0.007305,0.009677,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
121,'2023/03/30 14:05:27:310',1,0.698462,0.649231,0.630769,0.501538,0.012766,0.011554,0.007435,0.008619,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
122,'2023/03/30 14:05:27:813',1,0.661538,0.68,0.606154,0.513846,0.029241,0.016387,0.006771,0.008196,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
123,'2023/03/30 14:05:28:312',1,0.606154,0.716923,0.643077,0.581538,0.019839,0.020161,0.005905,0.00842,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
124,'2023/03/30 14:05:28:815',1,0.618462,0.741538,0.581538,0.587692,0.013121,0.012357,0.006621,0.008718,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
125,'2023/03/30 14:05:29:320',1,0.606154,0.778462,0.587692,0.538462,0.073804,0.024618,0.004133,0.010335,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
126,'2023/03/30 14:05:29:817',1,0.661538,0.655385,0.569231,0.544615,0.07025,0.018028,0.00341,0.008823,0,0.496063,0.59577,0.322805,0.702343,0.307087,0.503937,0.716535
