TIMESTAMP;STREAM_ID;SEQUENCE; Brachioradialis  Sx ; Brachioradialis  Dx ; Extensor Carpi Radialis Sx ; Extensor Carpi Radialis  Dx ; Triceps brachii Long Head Dx ; Deltoid  Lateral  Dx ; Abductor digiti minimi (hand) Sx ; Abductor digiti minimi (hand) Dx
nan;96;2983;5214;-2823;4253;-326;2976;-221;2168;3148
nan;96;2985;3097;-2932;7175;128;3692;-79;-2498;2855
nan;96;2987;-559;-2791;8006;568;4705;152;-7861;2546
nan;96;2989;-4256;-3166;5979;1291;5331;388;-11559;2967
nan;96;2991;-1634;967;1247;1472;1071;440;-6766;-879
nan;96;2993;-902;478;-2769;1467;717;478;-6400;-495
nan;96;2995;-2612;-2461;-4277;1575;2697;439;-9096;1764
nan;96;2997;-2998;-2677;-5472;1675;2742;250;-7415;1504
nan;96;2999;-743;-1008;-8315;1487;1076;58;-4290;-473
nan;96;3001;2402;446;-7928;1003;-384;-181;-2629;-1768
nan;96;3003;1079;-998;-2972;910;284;-310;-1693;1122
nan;96;3005;1525;1311;1509;1272;-1246;-240;1814;-290
nan;96;3007;3301;3397;3051;1521;-3290;-115;5747;-3152
nan;96;3009;3079;2525;3626;1714;-3290;-96;7339;-2090
nan;96;3011;3087;1795;3504;1590;-3284;-114;8950;-835
nan;96;3013;3343;1260;3136;868;-3050;-145;10683;-523
nan;96;3015;3858;708;2941;-160;-3040;-69;9814;-667
nan;96;3017;2204;-1698;2293;-1313;252;36;2877;1543
nan;96;3019;3874;-429;1796;-2589;209;58;2993;511
nan;96;3021;3959;-1585;2294;-2351;915;-36;3656;2267
nan;96;3023;2902;-2895;2613;-654;2818;-223;-1932;4437
nan;96;3025;164;-3861;2291;-768;4772;-337;-5575;5780
nan;96;3027;-1324;-1927;2012;-1250;3645;-273;-6511;2747
nan;96;3029;-3793;-2596;1463;-1254;3658;-156;-13506;2009
nan;96;3031;-3686;-2076;820;-1572;1946;-37;-11332;654
nan;96;3033;-4187;-1240;182;-1891;1271;66;-6964;484
nan;96;3035;-5290;-1274;-37;-1324;986;236;-7027;1526
nan;96;3037;-5582;-868;346;-960;571;317;-7075;1891
nan;96;3039;-6307;-405;750;-521;558;191;-9236;1252
nan;96;3041;-6961;382;963;160;280;114;-8590;-204
nan;96;3043;-6023;1303;1157;-547;-859;56;-3176;-1647
